Entity_index,Entity,matched ontology,jaccard similarity score,ontology type
doc1.txt_sentence_9_noun_1,Fentanyl,fentanyl,1.0,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121
doc10.txt_sentence_18_noun_17,law enforcement,law enforcement,1.0,http://purl.bioontology.org/ontology/STY/T064
doc19.txt_sentence_48_noun_6,Medicare,medicare,1.0,http://purl.bioontology.org/ontology/STY/T089|http://purl.bioontology.org/ontology/STY/T064
doc19.txt_sentence_48_noun_7,Medicaid,medicaid,1.0,http://purl.bioontology.org/ontology/STY/T089|http://purl.bioontology.org/ontology/STY/T064
doc19.txt_sentence_48_noun_14,Medicare,medicare,1.0,http://purl.bioontology.org/ontology/STY/T089|http://purl.bioontology.org/ontology/STY/T064
doc19.txt_sentence_48_noun_15,Medicaid,medicaid,1.0,http://purl.bioontology.org/ontology/STY/T089|http://purl.bioontology.org/ontology/STY/T064
doc10.txt_sentence_16_noun_14,law enforcement,law enforcement,1.0,http://purl.bioontology.org/ontology/STY/T064
doc10.txt_sentence_18_noun_2,law enforcement,law enforcement,1.0,http://purl.bioontology.org/ontology/STY/T064
doc11.txt_sentence_14_noun_20,Law enforcement,law enforcement,1.0,http://purl.bioontology.org/ontology/STY/T064
doc19.txt_sentence_8_noun_32,Medicare,medicare,1.0,http://purl.bioontology.org/ontology/STY/T089|http://purl.bioontology.org/ontology/STY/T064
doc11.txt_sentence_14_noun_31,Law enforcement,law enforcement,1.0,http://purl.bioontology.org/ontology/STY/T064
doc11.txt_sentence_24_noun_4,life,life,1.0,http://purl.bioontology.org/ontology/STY/T078
doc11.txt_sentence_24_noun_14,life,life,1.0,http://purl.bioontology.org/ontology/STY/T078
doc13.txt_sentence_13_noun_1,law enforcement,law enforcement,1.0,http://purl.bioontology.org/ontology/STY/T064
doc14.txt_sentence_8_noun_0,LOS ANGELES,los angeles,1.0,http://purl.bioontology.org/ontology/STY/T083
doc14.txt_sentence_16_noun_10,life,life,1.0,http://purl.bioontology.org/ontology/STY/T078
doc19.txt_sentence_8_noun_33,Medicaid,medicaid,1.0,http://purl.bioontology.org/ontology/STY/T089|http://purl.bioontology.org/ontology/STY/T064
